path	partition	weak_label	pred_binary	pred_label	confidence	bbox
/truenas-big/images/36/47/36475b4564eaa687833b0e730375cd852b901a6b68bbf4ea8ea8e0999a2ccce3.JPEG	sora	watermarked_sora_or_openai	watermarked	grok	0.7757359147071838	[1664, 961, 1918, 1069]
/truenas-big/images/61/29/612919c05bb902c3ce451b6ccd09effed3050698add898a3160c4d78d30f5050.JPEG	sora	watermarked_sora_or_openai	clean	clean	1.1167999480754531e-06	
/truenas-big/images/2a/fd/2afd4221cac829ee2b0c04dcc099bdeba0bf86665ec7490dc0a90b54588c824c.JPEG	sora	watermarked_sora_or_openai	clean	clean	7.291753748583929e-07	
/truenas-big/images/66/35/66351d7803b4e881aa004d674edf98040840809ba5b64b973ecd833fca2e1a5d.JPEG	sora	watermarked_sora_or_openai	clean	clean	2.429011968230199e-07	[1777, 982, 1919, 1061]
/truenas-big/images/62/08/62089d5f29af6d3b5ce03a97b40689b7a6731c595ba6ea306dfae3dc092ac3c5.JPEG	sora	watermarked_sora_or_openai	watermarked	minimax_hailuo	0.7420608401298523	[1798, 980, 1919, 1057]
/truenas-big/images/c1/9c/c19c36bb828e0ddda5cb647323e9671c094afc9c689a033f71e45eb6acb0efb9.JPEG	sora	watermarked_sora_or_openai	clean	clean	1.5931194585760977e-08	
/truenas-big/images/77/04/770489fd61e8421f121c5bf5a2df9a42c08fe18598557440af99c1a4153e4a84.JPEG	sora	watermarked_sora_or_openai	clean	clean	0.00011687637029256237	
/truenas-big/images/73/ef/73efa761eb34cd788c4b1bbac098be4ccba4d326d6de9eccdcd57d9b7e7fa8a9.JPEG	sora	watermarked_sora_or_openai	watermarked	grok	0.9999995428040301	
/truenas-big/images/6a/89/6a898536b6b620e0634052321b71e9ed3753217f8f7a04dca36b0240215899ec.JPEG	sora	watermarked_sora_or_openai	clean	clean	0.00017343995558405378	
/truenas-big/images/e3/bf/e3bf0ef102183d6d7ad916da985330a7d707c48bdf5051fa586d49347fe2606e.JPEG	sora	watermarked_sora_or_openai	watermarked	grok	0.9999568923537403	[1765, 976, 1919, 1060]
/truenas-big/images/ea/ae/eaaee8dcc03fa54ef74c92288c5cef233964b25e7b0adb57e80107de6711366a.JPEG	sora	watermarked_sora_or_openai	clean	clean	0.04066527579392598	
/truenas-big/images/22/48/224819d56a29d7d3bf377e775898489ccced773abb8bddba7b7b42e3bc86ad63.JPEG	sora	watermarked_sora_or_openai	watermarked	grok	0.9995471775489172	
/truenas-big/images/6f/b7/6fb71c6c0b2e015e3b96933c6a82bf0f9e0d8f2e72b1ef57cb30b14a82b2ea63.JPEG	sora	watermarked_sora_or_openai	watermarked	minimax_hailuo	0.5316696166992188	[1182, 654, 1279, 704]
/truenas-big/images/01/ca/01ca99a209b8bda6cf4298e8b03c01ba0004be8a595f0cc25e16dd22840ed371.JPEG	sora	watermarked_sora_or_openai	clean	clean	0.0081788436401935	
/truenas-big/images/c9/ef/c9efca6191b3861637bff15a9c562ef01aca279a1373798b9e9d71bebdc5d3fd.JPEG	sora	watermarked_sora_or_openai	watermarked	grok	0.32064300775527954	[1635, 963, 1911, 1065]
